table,rows
AcademicContributor,76343
AcademicFundGrand,11848
AcademicHeading,3
AcademicKeyword,52058
AcademicKeywordPlus,22906
AcademicOrganization,0
AcademicOrganizationSet,11348
AcademicRecord,23801
AcademicRecordAbstract,23061
AcademicRecordContributor,84865
AcademicRecordContributorOrganizationSet,138860
AcademicRecordContributorSubOrganizationSet,62980
AcademicRecordFundGrand,24216
AcademicRecordHeading,24819
AcademicRecordKeyword,101769
AcademicRecordKeywordPlus,83797
AcademicRecordSubHeading,27340
AcademicRecordSubject,86033
AcademicSubHeading,3
AcademicSubOrganization,0
AcademicSubOrganizationSet,12926
AcademicSubject,108
CitingArticleInfo,0
ContributorRole,1
DatabaseEdition,10
DocumentType,18
IncitesJournalInfo,0
Language,1
Publication,466
PublicationType,5
sysdiagrams,1
