case_id,topic,journal,score,matched_articles,example_title
1,Wireless sensor networks,INFORMATION SYSTEMS FRONTIERS,0.29,1,T-LEACH: The method of threshold-based cluster head replacement for wireless sensor networks
2,Machine learning classification,JOURNAL OF INTELLIGENT INFORMATION SYSTEMS,0.1828,5,Semi-supervised classification trees
3,Image processing and computer vision,JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION,0.1477,9,Comparative study of global color and texture descriptors for web image retrieval
4,Cryptography and network security,JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,0.133,13,A survey of intrusion detection techniques in Cloud
5,Cloud computing scheduling,CHINA COMMUNICATIONS,0.2305,1,Dynamic and Integrated Load-Balancing Scheduling Algorithm for Cloud Data Centers
6,Software engineering testing,IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,0.195,26,Prioritizing test cases for regression testing
7,Database query optimization,JOURNAL OF INTELLIGENT INFORMATION SYSTEMS,0.1912,4,Data mining-based materialized view and index selection in data warehouses
8,Natural language processing,DATA & KNOWLEDGE ENGINEERING,0.1891,7,SyMSS: A syntax-based measure for short-text semantic similarity
9,Human computer interaction,JOURNAL OF COMPUTER INFORMATION SYSTEMS,0.1504,4,Measuring user satisfaction and perceived usefulness in the ERP context
10,Data mining clustering,INTELLIGENT DATA ANALYSIS,0.1351,7,Clustering of large time series datasets
